country_mapped,region,year,rank,score,gdp_pc,family,health,freedom,trust,generosity,dystopia
Bahrain,Middle East and Northern Africa,2017,41,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572,1.65614938735962
Bahrain,Middle East and Northern Africa,2018,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,
Bahrain,Middle East and Northern Africa,2019,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,
Bangladesh,Southern Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767
Bangladesh,Southern Asia,2016,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904
Bangladesh,Southern Asia,2017,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,1.97873616218567
Bangladesh,Southern Asia,2018,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,
Bangladesh,Southern Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,
Belarus,Central and Eastern Europe,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309
Belarus,Central and Eastern Europe,2016,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582
Belarus,Central and Eastern Europe,2017,67,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.156313821673393,0.15513750910759,1.72323298454285
Belarus,Central and Eastern Europe,2018,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,
Belarus,Central and Eastern Europe,2019,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,
Belgium,Western Europe,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,Western Europe,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355
Belgium,Western Europe,2017,17,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2.12421035766602
Belgium,Western Europe,2018,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,
Belgium,Western Europe,2019,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,
Belize,Latin America and Caribbean,2016,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039
Belize,Latin America and Caribbean,2017,50,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.0965810716152191,0.240015640854836,2.63195562362671
Belize,Latin America and Caribbean,2018,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,
Benin,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328
Benin,Sub-Saharan Africa,2016,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812
Benin,Sub-Saharan Africa,2017,143,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.0609290152788162,0.207948461174965,1.88563096523285
Benin,Sub-Saharan Africa,2018,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,
Benin,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,
Bhutan,Southern Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794
Bhutan,Southern Asia,2016,84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916
Bhutan,Southern Asia,2017,97,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.173380389809608,0.474054545164108,1.14018440246582
Bhutan,Southern Asia,2018,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,
Bhutan,Southern Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,
Bolivia,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334
Bolivia,Latin America and Caribbean,2016,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635
Bolivia,Latin America and Caribbean,2017,58,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,0.22556072473526,2.44327902793884
Bolivia,Latin America and Caribbean,2018,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,
Bolivia,Latin America and Caribbean,2019,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367
Bosnia and Herzegovina,Central and Eastern Europe,2016,87,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406
Bosnia and Herzegovina,Central and Eastern Europe,2017,90,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.0,0.328867495059967,1.89217257499695
Bosnia and Herzegovina,Central and Eastern Europe,2018,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216,
Bosnia and Herzegovina,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,
Botswana,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181
Botswana,Sub-Saharan Africa,2016,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741
Botswana,Sub-Saharan Africa,2017,142,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,0.3779137134552
Botswana,Sub-Saharan Africa,2018,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,
Botswana,Sub-Saharan Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,
Brazil,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,Latin America and Caribbean,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733
Brazil,Latin America and Caribbean,2017,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2.76926708221436
Brazil,Latin America and Caribbean,2018,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,
Brazil,Latin America and Caribbean,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,
Bulgaria,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991
Bulgaria,Central and Eastern Europe,2016,129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377
Bulgaria,Central and Eastern Europe,2017,105,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,0.996139287948608
Bulgaria,Central and Eastern Europe,2018,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,
Bulgaria,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,
Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494
Burkina Faso,Sub-Saharan Africa,2016,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319
Burkina Faso,Sub-Saharan Africa,2017,134,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,1.72721290588379
Burkina Faso,Sub-Saharan Africa,2018,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,
Burkina Faso,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,
Burundi,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302
Burundi,Sub-Saharan Africa,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404
Burundi,Sub-Saharan Africa,2017,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.0841479450464249,0.204435184597969,1.68302416801453
Burundi,Sub-Saharan Africa,2018,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,
Burundi,Sub-Saharan Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,
Cambodia,Southeastern Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195
Cambodia,Southeastern Asia,2016,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573
Cambodia,Southeastern Asia,2017,129,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,1.04294109344482
Cambodia,Southeastern Asia,2018,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,
Cambodia,Southeastern Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071
Cameroon,Sub-Saharan Africa,2016,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198
Cameroon,Sub-Saharan Africa,2017,107,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,0.236298456788063,2.3336455821991
Cameroon,Sub-Saharan Africa,2018,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,
Cameroon,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,
Canada,North America,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176
Canada,North America,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485
Canada,North America,2017,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.18726444244385
Canada,North America,2018,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,
Canada,North America,2019,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,
Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,2.7223
Central African Republic,Sub-Saharan Africa,2017,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515,2.06600475311279
Central African Republic,Sub-Saharan Africa,2018,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218,
Central African Republic,Sub-Saharan Africa,2019,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235,
Chad,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296
Chad,Sub-Saharan Africa,2016,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637
Chad,Sub-Saharan Africa,2017,137,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,2.07123804092407
Chad,Sub-Saharan Africa,2018,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,
Chad,Sub-Saharan Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,
Chile,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505
Chile,Latin America and Caribbean,2017,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,2.50958585739136
Chile,Latin America and Caribbean,2018,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,
Chile,Latin America and Caribbean,2019,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,
China,Eastern Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604
China,Eastern Asia,2016,83,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087
China,Eastern Asia,2017,79,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0227942746132612,0.0288068410009146,1.76493859291077
China,Eastern Asia,2018,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,
China,Eastern Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,
Colombia,Latin America and Caribbean,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471
Colombia,Latin America and Caribbean,2017,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,2.61606812477112
Colombia,Latin America and Caribbean,2018,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,
Colombia,Latin America and Caribbean,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,
Comoros,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812
Comoros,Sub-Saharan Africa,2016,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632
Comoros,Sub-Saharan Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135
Congo (Brazzaville),Sub-Saharan Africa,2016,127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681
Congo (Brazzaville),Sub-Saharan Africa,2017,124,4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.0796181336045265,0.120852127671242,1.72413563728333
Congo (Brazzaville),Sub-Saharan Africa,2018,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,
Congo (Brazzaville),Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,
Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712
Congo (Kinshasa),Sub-Saharan Africa,2016,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924
Congo (Kinshasa),Sub-Saharan Africa,2017,126,4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,2.22495865821838
Congo (Kinshasa),Sub-Saharan Africa,2018,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,
Congo (Kinshasa),Sub-Saharan Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,
Costa Rica,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728
Costa Rica,Latin America and Caribbean,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168
Costa Rica,Latin America and Caribbean,2017,12,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,2.89863920211792
Costa Rica,Latin America and Caribbean,2018,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,
Costa Rica,Latin America and Caribbean,2019,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,
Croatia,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,Central and Eastern Europe,2016,74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462
Croatia,Central and Eastern Europe,2017,77,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.0431031100451946,0.248002976179123,1.85449242591858
Croatia,Central and Eastern Europe,2018,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,
Croatia,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,
Cyprus,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,Western Europe,2016,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497
Cyprus,Western Europe,2017,65,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.0412379764020443,0.271254301071167,1.62124919891357
Cyprus,Western Europe,2018,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,
Cyprus,Western Europe,2019,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,
Czech Republic,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211
Czech Republic,Central and Eastern Europe,2017,23,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,2.45186185836792
Czech Republic,Central and Eastern Europe,2018,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,
Czech Republic,Central and Eastern Europe,2019,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,
Denmark,Western Europe,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204
Denmark,Western Europe,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939
Denmark,Western Europe,2017,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,2.31370735168457
Denmark,Western Europe,2018,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,
Denmark,Western Europe,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,
Djibouti,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305
Dominican Republic,Latin America and Caribbean,2016,89,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626
Dominican Republic,Latin America and Caribbean,2017,86,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,1.31946516036987
Dominican Republic,Latin America and Caribbean,2018,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,
Dominican Republic,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,
Ecuador,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942
Ecuador,Latin America and Caribbean,2016,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366
Ecuador,Latin America and Caribbean,2017,44,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994,2.29035258293152
Ecuador,Latin America and Caribbean,2018,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,
Ecuador,Latin America and Caribbean,2019,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,
Egypt,Middle East and Northern Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927
Egypt,Middle East and Northern Africa,2016,120,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895
Egypt,Middle East and Northern Africa,2017,104,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263,1.70216107368469
Egypt,Middle East and Northern Africa,2018,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,
Egypt,Middle East and Northern Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,
El Salvador,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035
El Salvador,Latin America and Caribbean,2016,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134
El Salvador,Latin America and Caribbean,2017,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,2.7145938873291
El Salvador,Latin America and Caribbean,2018,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,
El Salvador,Latin America and Caribbean,2019,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,
Estonia,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782
Estonia,Central and Eastern Europe,2016,72,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985
Estonia,Central and Eastern Europe,2017,66,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.183248922228813,0.0988908112049103,1.35750865936279
Estonia,Central and Eastern Europe,2018,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,
Estonia,Central and Eastern Europe,2019,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876
Ethiopia,Sub-Saharan Africa,2016,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614
Ethiopia,Sub-Saharan Africa,2017,119,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,2.01574373245239
Ethiopia,Sub-Saharan Africa,2018,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,
Ethiopia,Sub-Saharan Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,
Finland,Western Europe,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955
Finland,Western Europe,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596
Finland,Western Europe,2017,5,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,2.4301815032959
Finland,Western Europe,2018,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,
Finland,Western Europe,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,
France,Western Europe,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126
France,Western Europe,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744
